mnemonic,course_name,instructor_assignments,term_id
ds_tech_bootcamp,ds tech bootcamp,Pete Alonzi,fall2021
stat6021,STAT 6021: Linear Models for Data Science,Jeffrey Woo,fall2021
ds5100,DS 5100 Programming for Data Science,Judy Fox,fall2021
cs5012,CS 5012: Foundations of Computer Science,Jeremy Bolton,fall2021
ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),Bill Basener,fall2021
ds_biz_analytics,DS 5559: New Course in Data Science: Business Analytics for Data Scientists,Marc Ruggiano,fall2021
ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),Adam Tashman,fall2021
ds5001,DS 5001: Exploratory Text Analytics,Sree Mallikarjun,fall2021
ds6001,DS 6001: Practice & Application,Eric Tassone,fall2021
ds6011,DS 6011: Capstone,Jeremy Bolton,fall2021
ds6011,DS 6011: Capstone,Peter Gedeck,fall2021
ds6011,DS 6011: Capstone,Eric Tassone,fall2021
ds6011,DS 6011: Capstone,Abbas Kazemipour,fall2021
ds6011,DS 6011: Capstone,Cait Dreisbach,fall2021
ds6011,DS 6011: Capstone,Lei Xie,fall2021
ds6040,DS 6040: Bayesian Machine Learning,Bill Basener,fall2021
ds6002,DS 6002: Ethics of Big Data,Renee Cummings,fall2021
ds6050,DS 6050: Deep Learning,Stephen Baek,fall2021
ds6013,Capstone Part 2,Raf Alvarado,fall2021
ds6013,Capstone Part 2,Teague Henry,fall2021
ds_tech_bootcamp,ds tech bootcamp,Pete Alonzi,summer2021
stat6021,STAT 6021: Linear Models for Data Science,Jeffrey Woo,summer2021
ds5100,DS 5100 Programming for Data Science,Nada Basit,summer2021
cs5012,CS 5012: Foundations of Computer Science,Jeremy Bolton,summer2021
ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),Peter Gedeck,summer2021
ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),Adam Tashman,summer2021
ds5001,DS 5001: Exploratory Text Analytics,Sree Mallikarjun,summer2021
ds6001,DS 6001: Practice & Application,Raf Alvarado,summer2021
ds6011,DS 6011: Capstone,Raf Alvarado,summer2021
ds6011,DS 6011: Capstone,Teague Henry,summer2021
ds6040,DS 6040: Bayesian Machine Learning,Teague Henry,summer2021
ds6002,DS 6002: Ethics of Big Data,Renee Cummings,summer2021
ds6050,DS 6050: Deep Learning,Rich Nguyen,summer2021
ds6013,Capstone Part 2,Jon Kropko,summer2021
ds6012,Ethics of Big Data 2,Renee Cummings,summer2021
ds6003,DS 6003 Practice & Application Pt 2,Jason Williamson,summer2021
ds_tech_bootcamp,ds tech bootcamp,Pete Alonzi,spring2021
stat6021,STAT 6021: Linear Models for Data Science,Jeffrey Woo,spring2021
ds5100,DS 5100 Programming for Data Science,Judy Fox,spring2021
cs5012,CS 5012: Foundations of Computer Science,Panagiotis Apostolellis,spring2021
ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),Mike Porter,spring2021
ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),Adam Tashman,spring2021
ds5001,DS 5001: Exploratory Text Analytics,Sree Mallikarjun,spring2021
ds6001,DS 6001: Practice & Application,Jon Kropko,spring2021
ds6011,DS 6011: Capstone,Jon Kropko,spring2021
ds6040,DS 6040: Bayesian Machine Learning,Bill Basener,spring2021
ds6002,DS 6002: Ethics of Big Data 1,Luis Felipe Rosado Murillo,spring2021
ds6050,DS 6050: Deep Learning,Rich Nguyen,spring2021
ds6013,Capstone Part 2,Raf Alvarado,spring2021
ds6003,DS 6003 Practice & Application Pt 2,Jason Williamson,spring2021
ds6012,DS 6012: Big Data Ethics Pt 2,Luis Felipe Rosado Murillo,spring2021
sarc5400,Data Viz,Eric Field,spring2021
