mnemonic,course_name,instructor_assignments,term_id
ds_tech_bootcamp,ds tech bootcamp,Pete Alonzi,fall2021
stat6021,STAT 6021: Linear Models for Data Science,Jeffrey Woo,fall2021
ds5100,DS 5100 Programming for Data Science,Judy Fox,fall2021
cs5012,CS 5012: Foundations of Computer Science,Jeremy Bolton,fall2021
ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),Bill Basener,fall2021
ds_biz_analytics,DS 5559: New Course in Data Science: Business Analytics for Data Scientists,Marc Ruggiano,fall2021
ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),Adam Tashman,fall2021
ds5001,DS 5001: Exploratory Text Analytics,Sree Mallikarjun,fall2021
ds6001,DS 6001: Practice & Application,Eric Tassone,fall2021
ds6011,DS 6011: Capstone,"Jeremy Bolton, Peter Gedeck, Eric Tassone, Abbas Kazemipour, Cait Dreisbach, Lei Xie",fall2021
ds6040,DS 6040: Bayesian Machine Learning,Bill Basener,fall2021
ds6002,DS 6002: Ethics of Big Data,Renee Cummings,fall2021
ds6050,DS 6050: Deep Learning,Stephen Baek,fall2021
ds6013,Capstone Part 2,Raf Alvarado & Teague Henry,fall2021
