mnemonic,course_name,instructor_assignments,term_id
ds_tech_bootcamp,ds tech bootcamp,Pete Alonzi,spring2021
stat6021,STAT 6021: Linear Models for Data Science,Jeffrey Woo,spring2021
ds5100,DS 5100 Programming for Data Science,Judy Fox,spring2021
cs5012,CS 5012: Foundations of Computer Science,Panagiotis Apostolellis,spring2021
ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),Mike Porter,spring2021
ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),Adam Tashman,spring2021
ds5001,DS 5001: Exploratory Text Analytics,Sree Mallikarjun,spring2021
ds6001,DS 6001: Practice & Application,Jon Kropko,spring2021
ds6011,DS 6011: Capstone,Jon Kropko,spring2021
ds6040,DS 6040: Bayesian Machine Learning,Bill Basener,spring2021
ds6002,DS 6002: Ethics of Big Data 1,Luis Felipe Rosado Murillo,spring2021
ds6050,DS 6050: Deep Learning,Rich Nguyen,spring2021
ds6013,Capstone Part 2,Raf Alvarado,spring2021
ds6003,DS 6003 Practice & Application Pt 2,Jason Williamson,spring2021
ds6012,DS 6012: Big Data Ethics Pt 2,Luis Felipe Rosado Murillo,spring2021
sarc5400,Data Viz,Eric Field,spring2021
