mnemonic,course_name,instructor_assignments,term_id
ds_tech_bootcamp,ds tech bootcamp,Pete Alonzi,summer2021
stat6021,STAT 6021: Linear Models for Data Science,Jeffrey Woo,summer2021
ds5100,DS 5100 Programming for Data Science,Nada Basit,summer2021
cs5012,CS 5012: Foundations of Computer Science,Jeremy Bolton,summer2021
ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),Peter Gedeck,summer2021
ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),Adam Tashman,summer2021
ds5001,DS 5001: Exploratory Text Analytics,Sree Mallikarjun,summer2021
ds6001,DS 6001: Practice & Application,Raf Alvarado,summer2021
ds6011,DS 6011: Capstone,"Raf Alvarado, Teague Henry",summer2021
ds6040,DS 6040: Bayesian Machine Learning,Teague Henry,summer2021
ds6002,DS 6002: Ethics of Big Data,Renee Cummings,summer2021
ds6050,DS 6050: Deep Learning,Rich Nguyen,summer2021
ds6013,Capstone Part 2,Jon Kropko,summer2021
ds6012,Ethics of Big Data 2,Renee Cummings,summer2021
ds6003,DS 6003 Practice & Application Pt 2,Jason Williamson,summer2021
