MNEMONIC,LEARNING OUTCOME
ds_tech_bootcamp,Research documentation on your own as a first line of action
ds_tech_bootcamp,Describe the components of a computer
ds_tech_bootcamp,Explain the scales of computational power and scales of data
ds_tech_bootcamp,"Differentiate between Windows, MacOS ,and Linux operating systems"
ds_tech_bootcamp,Compare Command Line (CLI) and Graphical User Interface (GUI) shells
ds_tech_bootcamp,Demonstrate installing software to your computer
ds_tech_bootcamp,Implement important tasks with Linux
ds_tech_bootcamp,Create a GitHub account for career or personal use
ds_tech_bootcamp,Use CLI to operate Git software for version control
ds_tech_bootcamp,Use GUI to operate Github website interface for version control
ds_tech_bootcamp,Know how to Install R
ds_tech_bootcamp,Know how to install and launch Rstudio
ds_tech_bootcamp,Know how to install Anaconda
ds_tech_bootcamp,Know how to launch Spyder
ds_tech_bootcamp,Know how to launch Jupyter Notebook
ds_biz_analytics,"Understand the fundamentals of modern business with an emphasis on stakeholders, value-creation, industries, markets, and competition"
ds_biz_analytics,"Apply data science tools to the primary business functions in which they may be working: strategy, sales, marketing, finance, operations, human resources and technology"
ds_biz_analytics,"Understand key data sources, models, metrics, and tools that will be critical to their success during their careers, as they work in or support each of these business areas."
ds_biz_analytics,"Apply ethical data science principles to key business functions (e.g., finance, marketing, etc)"
ds_biz_analytics,"Use critical thinking skills to understand, analyze, or solve business problems"
ds_biz_analytics,Communicate effectively in both speech and writing
ds_biz_analytics,Collaborate effectively with peers
ds_biz_analytics,Formulate and ask insightful questions
ds_biz_analytics,Engage appropriately with senior executives at an enterprise level
ds5001,Understand and use language models such as bag of words
ds5001,Understand and use vector space models
ds5001,Understand how to measure similarity between documents
ds5001,Understand how Principal Component Analysis (PCA) works
ds5001,Understand and use topic models such as Latent Dirichlet Allocation (LDA)
ds5001,Understand and use word embedding such as glove and word2vec
ds5001,Understand and use sentiment analysis such as VADER
ds5001,Understand and use Naive Bayes classification
cs5012,Have a working knowledge of parallel computing and apply this knowledge for improved computing efficiency
cs5012,"Select, Computationally Assess, and Deploy appropriate and efficient data structures and algorithms to solve Data Science problems"
cs5012,"Define and Use Logic, Data Structures, and Algorithms to Solve Problems "
cs5012,"Connect, Transform, and Reduce Real-World Problems to Classical Problem Frameworks to make use of existing, efficient algorithmic solutions"
cs5012,Independently Explore advanced or supplementary topics to attain a deeper and complimentary understanding of topics
cs5012,"Reflect on peer-feedback, instructor-feedback, experiences, and lessons-learned related to the use of data structures and algorithms to make continual improvements and updates to methodologies applied "
cs5012,Have a working knowledge of the Algorithm Complexity Class Hierarchy in order to gain perspective of the scope of the field and its contextual application to Data Science 
cs5012,Design and understand regular expressions for pattern matching
cs5012,Understand the important considerations for proper database design
ds5100,Basic Dataframe operations (Python and R)
ds5100,Clone a repo on GitHub
ds5100,Confidently work in an appropriate programming environment (IDE)
ds5100,Confidently write a class and call its methods to simulate a scenario
ds5100,Confidently write and call functions in both Python and R
ds5100,Correctly pass parameters and retrieve function output(s)
ds5100,"Data structures (e.g., sequences and collections: set, list, dict, tuple)"
ds5100,Demonstrate how methods are inherited from base classes
ds5100,"Essential primitives (e.g., bool, int, float)"
ds5100,Find and utilize resources including online documentation
ds5100,"I/O: at least three different formats, including csv, txt, JSON"
ds5100,Identify and utilize primitive data types and data structures [Built in]
ds5100,Import data into a Pandas Dataframe
ds5100,Incorporating some exception handling
ds5100,"NumPy, Pandas (essentials)"
ds5100,Patch/debug broken code
ds5100,Patch/debug code using in-line testing and unit testing (advanced)
ds5100,"Perform sensitivity analysis on functions (e.g., changing inputs and measuring impact on outputs)"
ds5100,Perform simple mathematical calculations (Python and R)
ds5100,R: Apply the Tidyverse Pipe operator to aggregate data
ds5100,"R: Apply the Tidyverse verbs, such as: select(), filter(), arrange(), mutate(), summarize()"
ds5100,R: data types
ds5100,R: Demonstrate use of element-wise operations
ds5100,"R: essential built-in functions like head(), tail(), rbind(), table(), summary(), str()"
ds5100,R: get started in RStudio and navigate around
ds5100,R: save code in an R script
ds5100,R: vectorization
ds5100,Read and Write to and from various data formats
ds5100,Read code on GitHub
ds5100,Select and apply an appropriate data structure based on the problem requirements
ds5100,Use a program API to utilize existing functions (e.g. assert statements.)
ds5100,"Using program API to utilize existing functions (e.g. sorting, searching, assert statements, etc.)"
ds5100,Utilize and implement add-on numerical packages to augment existing data structures
ds5100,Write robust code by implementing the basic principles of program testing and debugging
ds5110,Execute distributed computing frameworks using MapReduce and Spark 
ds5110,"Demonstrate knowledge of applications for big data storage, retrieval, processing, and modeling using Amazon AWS, Hive, and others from the Hadoop ecosystem "
ds5110,"Implement PySpark for prevalent data science tasks, including data analysis and machine learning"
ds5110,Execute an end-to-end predictive modeling project using a large dataset
ds5110,"Delineate Spark basic architecture and functionality.
"
ds5110,Apply RDDs and Pair RDDs in data analysis tasks
ds5110,Apply DataFrames in data analysis tasks
ds5110,Apply Spark SQL to data analysis tasks
ds5110,Demonstrate how to preprocess data in PySpark
ds5110,Identify the basics of the MLlib library in PySpark
ds5110,Implement classification models in MLlib
ds5110,Identify the statistics functionality in MLlib
ds5110,Implement regression models in MLlib
ds5110,Examine the alternating least squares algorithm
ds5110,Implement recommender systems in PySpark using collaborative filtering
ds5110,Execute the feature utilities package in ML
ds5110,Construct machine learning pipelines
ds5110,Apply dimension reduction techniques using PySpark
ds5110,Execute model selection and tuning in PySpark
ds5110,Distinguish the use and benefits of accumulators and broadcast variables
ds5110,Build machine learning tools for the supervised learning task
ds5110,Use hyperparameter tuning in Spark
